Temperature_K,SOC,Frequency_Hz,Re_Z,Im_Z,,
263.15,0.5,0.9077853991937549,0.014001702679204142,-0.000159194,,
263.15,0.5,1.0597662486760708,0.013995341919716502,-0.000178435,,
263.15,0.5,1.2371916345321594,0.013987909382687019,-0.000200806,,
263.15,0.5,1.4443214647272804,0.013979117034608878,-0.000226674,,
263.15,0.5,1.6861288382868804,0.013968604660729397,-0.000256435,,
263.15,0.5,1.9684194472866112,0.013955922025582511,-0.000290514,,
263.15,0.5,2.2979709690469625,0.013940507922687338,-0.000329349,,
263.15,0.5,2.6826957952797246,0.013921666506700306,-0.000373371,,
263.15,0.5,3.1318310052438445,0.013898542132015738,-0.000422976,,
263.15,0.5,3.6561601440851934,0.013870095290337763,-0.000478478,,
263.15,0.5,4.268272131163821,0.013835084321799447,-0.000540051,,
263.15,0.5,4.982863514647301,0.013792060465485041,-0.000607642,,
263.15,0.5,5.817091329374358,0.013739387,-0.000680875,,
263.15,0.5,6.790985029955707,0.013675299521087775,-0.000758925,,
263.15,0.5,7.9279273894505975,0.013598016247513162,-0.0008404,,
263.15,0.5,9.255215909791344,0.013505924240535181,-0.000923241,,
263.15,0.5,10.804718223181286,0.013397831705670904,-0.001004681,,
263.15,0.5,12.613637220374423,0.013273274572900713,-0.001081312,,
263.15,0.5,14.725404276241209,0.013132825,-0.001149301,,
263.15,0.5,17.190722018585745,0.012978319581369335,-0.001204764,,
263.15,0.5,20.068781676649664,0.012812919684701832,-0.001244274,,
263.15,0.5,23.428684237322305,0.012640924294775117,-0.001265385,,
263.15,0.5,27.351099530412107,0.012467337902893122,-0.00126707,,
263.15,0.5,31.93020307691027,0.012297263960278245,-0.001249913,,
263.15,0.5,37.27593720314938,0.012135266912632954,-0.001216016,,
263.15,0.5,43.51665070924412,0.011984856160255325,-0.001168637,,
263.15,0.5,50.80218046913023,0.011848199153207426,-0.001111661,,
263.15,0.5,59.30744895010559,0.011726091032839307,-0.00104906,,
263.15,0.5,69.23666403,0.011618134525755839,-0.000984428,,
263.15,0.5,80.82822192522706,0.011523044602103285,-0.00092068,,
263.15,0.5,94.36043101,0.011438992182121983,-0.000859904,,
263.15,0.5,110.15819387358995,0.011363925434218602,-0.00080335,,
263.15,0.5,128.6008080610565,0.011295836508694828,-0.000751506,,
263.15,0.5,150.1310728908171,0.011232962592582834,-0.000704239,,
263.15,0.5,175.26592085367585,0.011173919317842944,-0.000660972,,
263.15,0.5,204.6088289466011,0.011117765742971573,-0.000620869,,
263.15,0.5,238.86430789845957,0.011064000512003111,-0.000583026,,
263.15,0.5,278.85481717262917,0.011012494072530434,-0.000546629,,
263.15,0.5,325.5405118685032,0.010963373,-0.000511058,,
263.15,0.5,380.04229563658816,0.010916881598348095,-0.000475935,,
263.15,0.5,443.66873309786064,0.010873259779212992,-0.000441098,,
263.15,0.5,517.9474679231213,0.010832653563405504,-0.000406533,,
263.15,0.5,604.6619009070436,0.010795081,-0.000372285,,
263.15,0.5,705.8940086618738,0.010760445494609123,-0.000338382,,
263.15,0.5,824.0743309893649,0.010728570556645344,-0.000304783,,
263.15,0.5,962.0403271064761,0.010699250625648455,-0.000271361,,
263.15,0.5,1123.1045018329517,0.010672283923722752,-0.000237909,,
263.15,0.5,1311.133937421563,0.010647490390370376,-0.000204155,,
263.15,0.5,1530.6431405563565,0.010624713678956137,-0.000169777,,
263.15,0.5,1786.9024337358285,0.010603814979599337,-0.000134405,,
263.15,0.5,2086.0644934719567,0.010584665506158686,-9.76E-05,,
263.15,0.5,2435.3120734334125,0.010567141068444742,-5.89E-05,,
263.15,0.5,2843.030459302665,0.010551118948693664,-1.78E-05,,
263.15,0.5,3319.008795914677,0.010536476,2.6360532017247787e-05,,
263.15,0.5,3874.6751204561283,0.010523086948870742,7.43655486144352e-05,,
263.15,0.5,4523.370744772096,0.010510823133863761,0.000127042,,
263.15,0.5,5280.670574582637,0.010499551172102281,0.000185391,,
263.15,0.5,6164.757056337161,0.010489132633211214,0.000250585,,
263.15,0.5,7196.856730011514,0.010479424659865035,0.000323997,,
263.15,0.5,8401.749869294326,0.010470282073329179,0.000407239,,
263.15,0.5,9808.365445406671,0.010461561359251225,0.000502203,,
263.15,0.5,11450.475699382812,0.010453127,0.000611105,,
263.15,0.5,13367.506999197063,0.010444859524427362,0.000736543,,
263.15,0.5,15605.486450070717,0.010436666654477804,0.000881549,,
263.15,0.5,18218.146985669748,0.010428492185617672,0.001049653,,
263.15,0.5,21268.217472962082,0.010420323034236467,0.001244952,,
263.15,0.5,24828.92880560325,0.010412189206414483,0.001472186,,
263.15,0.5,28985.772146510622,0.010404156,0.001736835,,
263.15,0.5,33838.551534282335,0.010396308130177766,0.002045238,,
263.15,0.5,39503.780135666406,0.010388734289288973,0.002404738,,
263.15,0.5,46117.47767708251,0.010381509315099994,0.002823871,,
263.15,0.5,53838.436220334894,0.010374684907311091,0.003312574,,
263.15,0.5,62852.03269240097,0.010368285297192815,0.003882442,,
